Player,Season,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48
Precious Achiuwa,2022-23,C,23,55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,2.2,0.093
Steven Adams,2022-23,C,29,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,3.4,0.144
Bam Adebayo,2022-23,C,25,75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,20.1,0.592,0.011,0.361,8,23.6,15.5,15.9,1.7,2.4,12.7,25.2,7.4,0.137
Ochai Agbaji,2022-23,SG,22,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1,9,15.8,1.3,0.053
Santi Aldama,2022-23,PF,22,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9,13.9,0.591,0.507,0.274,5.4,18,11.7,7.6,1.3,2.6,9.3,16,4.6,0.13
Nickeil Alexander-Walker,2022-23,SG,24,59,3,15,2.2,5,0.444,1,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,1.1,0.062
Grayson Allen,2022-23,SG,27,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4,12.3,0.612,0.657,0.226,3.4,9,6.3,10.9,1.5,0.6,10.5,14.6,5.1,0.123
Jarrett Allen,2022-23,C,24,68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,9.5,0.205
Jose Alvarado,2022-23,PG,24,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,1.8,0.066
Kyle Anderson,2022-23,PF,29,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3,5.7,0.536,0.553,1.4,2,0.735,1,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,5.1,0.125
Giannis Antetokounmpo,2022-23,PF,28,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,8.6,0.204
Thanasis Antetokounmpo,2022-23,SF,30,37,0,5.6,0.5,1.2,0.435,0,0.2,0,0.5,1,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,0.1,0.022
Cole Anthony,2022-23,PG,22,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4,4.8,3.9,0.6,0.5,1.5,2.6,13,16,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,3.7,0.116
OG Anunoby,2022-23,SF,25,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5,2,1.9,0.7,2,3,16.8,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8,2.7,2,12.1,19.5,4.7,0.094
Ryan Arcidiacono,2022-23,PG,28,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0,0,,0,0.8,0.8,1.2,0.3,0,0.4,0.9,1.3,2.7,0.351,0.622,0,0,10,5,16.9,1.4,0,15.9,11.1,-0.2,-0.043
Deni Avdija,2022-23,SF,22,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,2.3,0.054
Deandre Ayton,2022-23,C,24,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11,22.9,6.2,0.147
