Player,Season,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48
Quincy Acy,2015-16,PF,25,59,29,14.8,2,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,2.5,0.137
Jordan Adams,2015-16,SG,21,2,0,7.5,1,3,0.333,0,0.5,0,1,2.5,0.4,0.333,1.5,2.5,0.6,0,1,1,1.5,1.5,0,1,1,3.5,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,0,0.015
Steven Adams,2015-16,C,22,80,80,25.2,3.3,5.3,0.613,0,0,,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,6.5,0.155
Arron Afflalo,2015-16,SG,30,71,57,33.4,5,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,2.7,0.055
Alexis Ajinça,2015-16,C,27,59,17,14.6,2.5,5.3,0.476,0,0,0,2.5,5.3,0.478,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,1,0.058
Cole Aldrich,2015-16,C,27,60,5,13.3,2.2,3.8,0.596,0,0,,2.2,3.8,0.596,0.596,1,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,3.5,0.209
LaMarcus Aldridge,2015-16,PF,30,74,74,30.6,7.2,14.1,0.513,0,0.2,0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,18,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,10.1,0.215
Cliff Alexander,2015-16,PF,20,8,0,4.5,0.6,1.3,0.5,0,0,,0.6,1.3,0.5,0.5,0,0,,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,0,0.052
Lavoy Allen,2015-16,PF,26,79,28,20.2,2.4,4.7,0.516,0,0,,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,3.7,0.11
Tony Allen,2015-16,SG,34,64,57,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3,4.6,1.1,1.7,0.3,1.2,2.7,8.4,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,2.4,0.072
