Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48
Álex Abrines,2016-17,SG,OKC,68,6,15.5,2,5,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,2.1,0.096
Quincy Acy,2016-17,PF,TOT,38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.9,0.082
Steven Adams,2016-17,C,OKC,80,80,29.9,4.7,8.2,0.571,0,0,0,4.7,8.2,0.572,0.571,2,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,6.5,0.13
Arron Afflalo,2016-17,SG,SAC,61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.4,0.043
Alexis Ajinça,2016-17,C,NOP,39,15,15,2.3,4.6,0.5,0,0.1,0,2.3,4.5,0.511,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,1,0.08
Cole Aldrich,2016-17,C,MIN,62,0,8.6,0.7,1.4,0.523,0,0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,1.3,0.116
LaMarcus Aldridge,2016-17,PF,SAS,72,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,7.2,0.149
Lavoy Allen,2016-17,PF,IND,61,5,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,1.7,0.093
Tony Allen,2016-17,SG,MEM,71,66,27,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,3.1,0.077
Al-Farouq Aminu,2016-17,PF,POR,61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,1.9,0.051
Chris Andersen,2016-17,C,CLE,12,0,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.2,0.102
Alan Anderson,2016-17,SF,LAC,30,0,10.3,1,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0,0.2,1.2,2.9,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0.1,0.02
Justin Anderson,2016-17,SF,TOT,75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,1.9,0.074
Kyle Anderson,2016-17,SF,SAS,72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.481,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,12.5,0.525,0.191,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,2.7,0.127
Ryan Anderson,2016-17,PF,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,5.2,0.117
Giannis Antetokounmpo,2016-17,SF,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,12.4,0.21
